season,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,MIA,MIN,NE,NO,NYG,NYJ,OAK,PHI,PIT,SEA,SF,TB,TEN,WAS
2009,76.0,76.0,77.0,73.0,68.0,36.0,61.0,66.0,71.0,57.0,80.0,115.0,89.0,96.0,48.0,29.0,16.0,103.0,57.0,68.0,97.0,85.0,56.0,80.0,36.0,120.0,81.0,37.0,62.0,34.0,77.0,41.0
2010,51.0,68.0,61.0,39.0,35.0,87.0,45.0,77.0,69.0,69.0,62.0,76.0,53.0,77.0,43.0,55.0,69.0,75.0,70.0,51.0,103.0,112.0,89.0,36.0,117.0,110.0,58.0,54.0,74.0,42.0,80.0,61.0
2011,36.0,120.0,94.0,87.0,92.0,75.0,83.0,26.0,72.0,72.0,79.0,128.0,110.0,19.0,43.0,57.0,36.0,80.0,84.0,104.0,81.0,99.0,70.0,60.0,56.0,74.0,69.0,60.0,45.0,33.0,56.0,43.0
2012,51.0,91.0,87.0,82.0,95.0,89.0,111.0,50.0,36.0,66.0,61.0,83.0,94.0,90.0,50.0,42.0,53.0,97.0,49.0,101.0,113.0,98.0,101.0,57.0,35.0,31.0,56.0,97.0,57.0,94.0,71.0,74.0
2013,48.0,78.0,59.0,72.0,63.0,95.0,87.0,55.0,90.0,129.0,48.0,78.0,64.0,70.0,70.0,121.0,65.0,61.0,43.0,81.0,73.0,86.0,45.0,44.0,87.0,89.0,77.0,67.0,96.0,80.0,71.0,45.0
2014,57.0,95.0,75.0,64.0,65.0,55.0,67.0,55.0,94.0,90.0,70.0,149.0,67.0,87.0,59.0,60.0,95.0,51.0,53.0,80.0,77.0,55.0,78.0,82.0,49.0,127.0,63.0,65.0,91.0,42.0,40.0,53.0
2015,84.0,47.0,63.0,87.0,97.0,41.0,90.0,50.0,51.0,66.0,85.0,104.0,58.0,61.0,35.0,93.0,67.0,52.0,47.0,75.0,89.0,119.0,71.0,76.0,58.0,64.0,63.0,76.0,25.0,58.0,66.0,102.0
2016,58.0,139.0,90.0,78.0,83.0,42.0,97.0,63.0,89.0,40.0,60.0,93.0,46.0,84.0,51.0,87.0,71.0,78.0,41.0,56.0,130.0,89.0,54.0,46.0,59.0,55.0,95.0,65.0,75.0,65.0,76.0,77.0
2017,56.0,84.0,45.0,40.0,59.0,47.0,67.0,36.0,60.0,59.0,50.0,78.0,67.0,42.0,84.0,83.0,117.0,42.0,40.0,76.0,92.0,106.0,60.0,62.0,55.0,106.0,80.0,55.0,48.0,72.0,52.0,74.0
2018,72.0,56.0,75.0,80.0,83.0,91.0,76.0,59.0,65.0,73.0,58.0,81.0,83.0,90.0,37.0,139.0,91.0,78.0,48.0,79.0,77.0,81.0,65.0,45.0,53.0,31.0,86.0,78.0,61.0,61.0,89.0,54.0
